age,gender,state,city,country,traffic_source,total_order,total_spend,avg_order_value,unique_category_count,is_churn,y_pred,y_probs
64,1,50,729,10,2,1,49.0,49.0,1,0,1.0,0.5476742852255626
21,1,144,3585,8,4,3,300.98999977111816,100.32999992370605,3,1,0.0,0.3630273042678925
24,1,56,1308,4,4,2,120.97999763488768,60.48999881744384,2,1,1.0,0.5015896971340084
38,0,124,6610,3,0,4,160.7400016784668,40.1850004196167,4,1,0.0,0.29273602046782543
46,1,215,3167,2,4,2,176.6599998474121,88.32999992370605,4,1,0.0,0.4288006091374983
41,1,207,6368,9,3,2,137.97999954223633,68.98999977111816,3,1,0.0,0.45772727368623656
43,1,195,3268,4,4,4,676.9400081634521,169.23500204086304,7,1,0.0,0.378156426972271
27,0,66,1208,4,4,1,148.36999893188477,148.36999893188477,4,0,1.0,0.57768654663903
16,0,4,6346,3,4,1,22.899999618530277,22.899999618530277,1,1,1.0,0.6201401826743065
40,1,66,4369,4,3,2,247.5799970626831,123.78999853134155,3,1,0.0,0.4440124455487568
62,0,19,2596,4,4,1,50.0,50.0,1,1,1.0,0.5439175523147725
67,0,26,945,11,4,1,34.9900016784668,34.9900016784668,1,1,1.0,0.5297815445152314
17,0,164,7074,14,4,1,69.0,69.0,1,1,1.0,0.5426904153711112
64,0,79,1308,4,4,2,123.08000183105469,61.540000915527344,2,1,0.0,0.4604031583003952
17,1,176,4882,3,4,2,482.7400016784668,241.3700008392334,5,0,0.0,0.4464449318911246
44,0,66,2856,4,4,2,86.36999702453613,43.184998512268066,2,1,0.0,0.44016132207111486
46,1,19,7255,4,4,1,34.0,34.0,1,0,1.0,0.5451880028856071
64,0,161,4855,3,4,1,124.0,124.0,1,1,1.0,0.5479313389568682
68,0,195,2485,4,4,1,253.4600009918213,253.4600009918213,2,1,1.0,0.5907499942115269
64,0,199,6347,3,4,1,29.950000762939453,29.950000762939453,1,1,1.0,0.5590600300302353
33,0,104,2230,9,3,1,11.989999771118164,11.989999771118164,1,1,1.0,0.5637616479446697
36,1,141,4477,14,4,2,36.989999771118164,18.494999885559082,1,0,0.0,0.4653138690038724
41,1,125,4111,14,4,3,103.87000179290771,34.62333393096924,3,0,0.0,0.39444060203921893
38,1,70,2522,11,4,3,356.8899955749512,118.96333185831706,7,0,0.0,0.35451441909822023
44,0,161,7373,3,3,1,62.0,62.0,1,1,1.0,0.5215210227063495
63,0,184,6344,3,4,1,118.9000015258789,118.9000015258789,2,0,1.0,0.5550198546925538
32,0,124,1983,3,4,1,91.16000366210936,91.16000366210936,1,1,1.0,0.5629204154768936
60,0,146,4283,14,2,2,133.85999870300293,66.92999935150146,3,1,0.0,0.4777386270652811
66,0,140,6299,0,4,3,167.81999969482422,55.93999989827474,5,1,0.0,0.3318644655054476
49,0,27,4782,14,4,1,10.579999923706056,10.579999923706056,1,0,1.0,0.6171569859497499
61,1,113,7403,10,3,1,36.5,36.5,1,0,1.0,0.5607685602104793
15,0,161,806,3,0,1,104.9499969482422,104.9499969482422,1,0,1.0,0.5740220082416458
52,0,17,5687,3,4,1,88.0,88.0,1,1,1.0,0.60055313351884
17,1,218,7295,0,4,3,120.95000076293945,40.31666692097982,3,1,0.0,0.370299097217793
48,0,51,665,13,4,1,54.950000762939446,54.950000762939446,1,1,1.0,0.5555647682809157
57,1,27,821,14,3,1,52.989999771118164,52.989999771118164,2,1,1.0,0.5375874402282217
49,0,202,2816,14,4,1,8.989999771118164,8.989999771118164,1,1,1.0,0.6218031698789145
49,1,8,2226,12,4,1,81.98999977111816,81.98999977111816,2,1,1.0,0.5558346949624458
53,0,19,4374,4,4,2,233.0,116.5,3,1,0.0,0.45147232067166726
60,0,62,1611,14,4,1,20.0,20.0,1,1,1.0,0.5495775608226614
31,0,164,3420,14,4,4,149.97000312805176,37.49250078201294,4,1,0.0,0.3565649582942505
18,1,199,2975,3,4,1,172.97999954223633,172.97999954223633,3,1,1.0,0.5579113294313496
43,0,169,547,4,4,1,45.9900016784668,45.9900016784668,1,1,1.0,0.5552324847207587
67,1,89,497,14,4,1,31.25,31.25,1,1,1.0,0.5497931482505504
48,1,79,2165,4,4,1,11.989999771118164,11.989999771118164,1,1,1.0,0.5712833069526521
32,1,161,409,3,4,3,208.3300018310547,69.44333394368489,6,0,0.0,0.3678675471879929
61,0,226,1732,4,4,2,73.98999977111816,36.99499988555908,2,1,0.0,0.4534020319245679
57,0,41,103,12,4,1,60.02999877929688,60.02999877929688,1,1,1.0,0.582507970566709
52,1,19,547,4,4,1,37.5,37.5,1,1,1.0,0.5596308221479334
24,1,78,2242,4,4,2,80.0,40.0,2,1,0.0,0.4376583369422137
34,1,55,4062,14,4,2,134.68999671936035,67.34499835968018,2,0,0.0,0.45875588160085445
33,1,136,3457,14,4,1,108.75,108.75,1,1,1.0,0.5569300058956071
70,1,195,5995,4,4,2,107.0999984741211,53.54999923706055,2,1,0.0,0.4255599631599272
18,0,67,1213,4,4,1,169.0,169.0,1,0,1.0,0.560550152735832
39,1,124,6645,3,4,2,52.739999771118164,26.369999885559082,2,0,0.0,0.443135284271343
22,0,19,4383,4,4,1,36.9900016784668,36.9900016784668,1,1,1.0,0.6200021236474059
40,1,113,2383,10,4,2,259.189998626709,129.5949993133545,2,1,1.0,0.5339462109427522
21,1,26,945,11,4,1,39.0,39.0,1,1,1.0,0.5354947704548916
67,1,17,2947,3,4,1,88.0,88.0,1,1,1.0,0.6141069876875254
51,0,191,3433,4,4,1,44.21999931335449,44.21999931335449,2,1,1.0,0.5523295791518289
35,0,140,6299,0,4,1,40.40999984741211,40.40999984741211,2,1,1.0,0.5602396771181938
59,1,191,6480,4,3,2,105.0,52.5,2,1,0.0,0.47094595871763
38,1,124,4889,3,4,3,355.9900016784668,118.66333389282227,4,0,0.0,0.3529111865504933
44,0,164,113,14,2,3,36.3799991607666,12.126666386922201,3,0,0.0,0.4452964733766909
60,1,51,3522,13,4,1,54.0,54.0,1,1,1.0,0.5393551834695479
27,1,168,6565,7,4,2,295.2299976348877,147.61499881744385,3,1,0.0,0.4029111820371102
49,1,85,2165,4,4,1,46.630001068115234,46.630001068115234,1,0,1.0,0.5510336341372157
14,1,19,7345,4,4,3,502.9899916648865,167.66333055496216,8,0,0.0,0.3777867010951503
32,1,202,1403,14,4,1,50.52999877929688,50.52999877929688,2,0,1.0,0.5817101059160484
16,0,42,2227,12,4,4,153.1800012588501,38.295000314712524,4,1,0.0,0.32856337220171583
26,1,43,4468,14,1,1,80.0,80.0,2,0,1.0,0.5242637322757463
35,0,202,1891,14,4,1,81.9800033569336,81.9800033569336,2,0,1.0,0.5513484223750482
63,1,66,2485,4,4,1,77.98999786376953,77.98999786376953,1,1,1.0,0.5471499961872852
35,1,51,6132,13,4,1,80.0,80.0,1,1,1.0,0.5501259029951275
45,1,27,4130,14,4,1,55.0,55.0,1,1,1.0,0.5420450396507964
63,1,51,3697,13,4,2,109.89999675750732,54.94999837875366,3,1,0.0,0.46374881919146327
20,1,195,6290,4,4,1,195.95000076293945,195.95000076293945,2,0,1.0,0.5620093862430594
51,0,81,5518,8,4,1,11.989999771118164,11.989999771118164,1,1,1.0,0.5721963940000044
21,0,190,3058,4,4,1,27.0,27.0,2,0,1.0,0.553561261457108
38,0,100,3062,4,4,1,23.989999771118164,23.989999771118164,1,1,1.0,0.5523295791518289
53,1,162,4543,7,4,1,34.189998626708984,34.189998626708984,1,1,1.0,0.5656827835325485
54,0,189,6696,4,4,1,148.5,148.5,1,1,1.0,0.5507650609109594
37,1,216,5108,14,4,1,105.98999786376952,105.98999786376952,1,1,1.0,0.5697171689186054
19,0,71,7275,11,4,1,29.0,29.0,1,1,1.0,0.5947816754132739
18,0,88,5362,14,3,2,179.66000175476074,89.83000087738037,3,0,0.0,0.46346286328103947
65,0,55,6454,14,4,1,108.54999923706055,108.54999923706055,2,1,1.0,0.5590497316048607
35,1,71,7302,11,4,1,31.989999771118164,31.989999771118164,1,1,1.0,0.5564627381633428
47,0,37,5201,4,4,3,528.9499969482422,176.31666564941406,6,0,0.0,0.3619588768666673
27,1,199,6347,3,4,2,197.93999862670898,98.96999931335449,3,1,0.0,0.4586776987044463
68,1,170,2366,0,4,2,209.0,104.5,2,0,0.0,0.4226195418875002
38,0,187,5944,11,4,1,73.80000019073486,73.80000019073486,2,1,1.0,0.5471799363236671
32,0,66,2165,4,4,1,98.0,98.0,1,1,1.0,0.5564522889800143
34,1,17,3470,3,4,1,102.45000076293945,102.45000076293945,2,1,1.0,0.5615572126492762
63,1,165,3094,3,4,1,186.98999977111816,186.98999977111816,2,1,1.0,0.5525352933453269
57,0,204,2825,4,4,1,39.9900016784668,39.9900016784668,1,1,1.0,0.5521041432802232
